[00:10:11] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-5.2) | E/P: 124.4/0.0 (S: 124.4/0.0) | Tav: 0.7
[00:11:13] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 119.1/0.0 (S: 119.1/0.0) | Tav: 0.5
[00:11:14] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 117.8/0.0 (S: 117.8/0.0) | Tav: 1.2
[00:11:14] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-2.3) | E/P: 116.4/0.0 (S: 116.4/0.0) | Tav: 1.6
[00:11:14] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.6
[00:11:15] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-3.9) | E/P: 114.1/0.0 (S: 114.1/0.0) | Tav: 0.6
[00:11:15] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 110.2/0.0 (S: 110.2/0.0) | Tav: 0.6
[00:11:16] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-2.3) | E/P: 108.8/0.0 (S: 108.8/0.0) | Tav: 0.6
[00:11:16] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-3.9) | E/P: 106.5/0.0 (S: 106.5/0.0) | Tav: 0.6
[00:11:17] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 102.6/0.0 (S: 102.6/0.0) | Tav: 1.0
[00:11:17] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-1.3) | E/P: 101.3/0.0 (S: 101.3/0.0) | Tav: 0.7
[00:11:18] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-2.3) | E/P: 99.9/0.0 (S: 99.9/0.0) | Tav: 0.7
[00:11:19] Angelina_Freeman sebzest kapott tole: Edie_Morra | sebzes: Ököl (-3.9) | E/P: 97.6/0.0 (S: 97.6/0.0) | Tav: 0.7
[00:11:21] Henrik_T_Scaletta sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 113.5/100.0 (S: 113.5/100.0) | Tav: 1.0
[00:11:23] Henrik_T_Scaletta sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 113.5/98.6 (S: 113.5/98.6) | Tav: 0.6
[00:11:41] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.6
[00:11:42] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.9
[00:11:43] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-2.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.9
[00:11:44] Edie_Morra sebzest kapott tole: Angelina_Freeman | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
