[01:33:21] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 116.0/0.0 (S: 116.0/0.0) | Tav: 0.8
[01:33:21] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 114.6/0.0 (S: 114.6/0.0) | Tav: 0.8
[01:33:22] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 113.3/0.0 (S: 113.3/0.0) | Tav: 1.0
[01:33:22] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.3) | E/P: 112.0/0.0 (S: 112.0/0.0) | Tav: 1.1
[01:33:23] Sergei_B_Dueno sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-3.9) | E/P: 109.7/0.0 (S: 109.7/0.0) | Tav: 1.1
[01:51:36] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-3.9) | E/P: 105.0/0.0 (S: 105.0/0.0) | Tav: 0.8
[01:51:38] Steve_Aoki sebzest kapott tole: Tom_Torres | sebzes: Ököl (-4.2) | E/P: 22.0/5.0 (S: 22.0/5.0) | Tav: 0.7
[01:52:17] Steve_Aoki sebzest kapott tole: Tom_Torres | sebzes: Ököl (-2.6) | E/P: 22.0/0.7 (S: 22.0/0.7) | Tav: 0.7
[01:52:30] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 101.0/0.0 (S: 101.0/0.0) | Tav: 0.7
[01:52:30] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 98.4/0.0 (S: 98.4/0.0) | Tav: 0.6
[01:52:30] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 95.7/0.0 (S: 95.7/0.0) | Tav: 0.6
[01:52:31] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 93.1/0.0 (S: 93.1/0.0) | Tav: 0.7
[01:52:31] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 90.4/0.0 (S: 90.4/0.0) | Tav: 0.7
[01:52:32] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 87.8/0.0 (S: 87.8/0.0) | Tav: 0.7
[01:52:32] Tom_Torres sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-2.6) | E/P: 85.2/0.0 (S: 85.2/0.0) | Tav: 1.4
