[00:20:54] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 60.0/28.0 (S: 60.0/28.0) | Tav: 1.2
[00:20:54] Shura_Sharma sebzest kapott tole: Zero_Hopkins | sebzes: Ököl (-1.3) | E/P: 60.0/26.7 (S: 60.0/26.7) | Tav: 0.8
[00:21:22] Zero_Hopkins sebzest kapott tole: Shura_Sharma | sebzes: Ököl (-1.3) | E/P: 102.0/96.6 (S: 102.0/96.6) | Tav: 0.9
[00:23:15] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 21.2
[00:23:15] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 20.8
[00:23:15] Darius_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 12.4
[00:23:16] Darius_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 11.3
[00:23:16] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 18.1
[00:23:16] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 17.4
[00:23:16] Aldo_B_Dueno sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/20.0 (S: 150.0/20.0) | Tav: 10000.0
[00:23:17] Norbert_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 14.7
[00:23:17] Norbert_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 13.6
[00:23:17] Norbert_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 12.4
[00:23:17] Torres_Butler sebzest kapott tole: Darius_N_Ortega | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 10.9
[00:23:18] Darius_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 10.9
[00:23:18] Darius_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 10.9
[00:23:18] Darius_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/20.0 (S: 150.0/20.0) | Tav: 10000.0
[00:23:18] Darius_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/20.0 (S: 150.0/20.0) | Tav: 10000.0
[00:23:18] Torres_Butler sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 16.3
[00:23:19] Norbert_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 6.5
[00:23:19] Norbert_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 150.0/20.0 (S: 150.0/20.0) | Tav: 10000.0
[00:23:19] Norbert_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 149.8/20.0 (S: 149.8/20.0) | Tav: 10000.0
[00:23:19] Norbert_N_Ortega sebzest kapott tole: Torres_Butler | sebzes: M4 (-9.9) | E/P: 149.8/20.0 (S: 149.8/20.0) | Tav: 10000.0
[00:23:19] Torres_Butler sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 15.2
[00:23:19] Torres_Butler sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 10000.0
[00:23:19] Torres_Butler sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 10000.0
[00:23:19] Torres_Butler sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/40.0 (S: 150.0/40.0) | Tav: 10000.0
[00:23:31] Krisztofer_Vincenzo sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 131.0/40.0 (S: 131.0/40.0) | Tav: 9.7
