[02:06:53] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/86.7 (S: 150.0/86.7) | Tav: 0.6
[02:06:54] Krisztofer_Vincenzo sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/85.4 (S: 150.0/85.4) | Tav: 0.7
[02:06:54] Elwood_JR_Sorrentino sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 87.0/97.3 (S: 87.0/97.3) | Tav: 1.4
[02:06:54] Don_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 102.0/100.0 (S: 102.0/100.0) | Tav: 0.7
[02:06:57] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/84.1 (S: 150.0/84.1) | Tav: 2.2
[02:06:58] Don_Sorrentino sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 102.0/98.6 (S: 102.0/98.6) | Tav: 0.6
[02:06:59] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/82.8 (S: 150.0/82.8) | Tav: 0.6
[02:06:59] Krisztofer_Vincenzo sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/81.5 (S: 150.0/81.5) | Tav: 0.6
[02:10:57] Tom_Torres sebzest kapott tole: Milinte_Brasco | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[02:11:36] Don_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/97.3 (S: 150.0/97.3) | Tav: 0.7
[02:13:39] Edie_Morra sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[02:13:46] Edie_Morra sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 147.6/0.0 (S: 147.6/0.0) | Tav: 0.6
[02:14:16] Edie_Morra sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 146.3/0.0 (S: 146.3/0.0) | Tav: 0.7
[02:14:30] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/96.0 (S: 150.0/96.0) | Tav: 0.8
[02:14:51] Don_Sorrentino sebzest kapott tole: Elwood_JR_Sorrentino | sebzes: Ököl (-6.6) | E/P: 150.0/96.0 (S: 150.0/96.0) | Tav: 1.2
[02:14:52] Elwood_JR_Sorrentino sebzest kapott tole: Don_Sorrentino | sebzes: Ököl (-1.3) | E/P: 150.0/94.7 (S: 150.0/94.7) | Tav: 1.2
[02:15:01] Edie_Morra sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 145.0/0.0 (S: 145.0/0.0) | Tav: 0.9
[02:15:26] Edie_Morra sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 143.7/0.0 (S: 143.7/0.0) | Tav: 0.8
[02:15:26] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/93.4 (S: 150.0/93.4) | Tav: 1.4
[02:16:07] Don_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/89.4 (S: 150.0/89.4) | Tav: 0.6
[02:16:13] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/92.0 (S: 150.0/92.0) | Tav: 1.2
[02:16:51] Edie_Morra sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 142.4/0.0 (S: 142.4/0.0) | Tav: 1.0
[02:17:49] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-1.3) | E/P: 150.0/90.7 (S: 150.0/90.7) | Tav: 1.5
[02:17:49] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-2.3) | E/P: 150.0/89.4 (S: 150.0/89.4) | Tav: 0.8
[02:17:50] Elwood_JR_Sorrentino sebzest kapott tole: Krisztofer_Vincenzo | sebzes: Ököl (-3.9) | E/P: 150.0/87.1 (S: 150.0/87.1) | Tav: 0.6
[02:23:50] Henrik_T_Scaletta sebzest kapott tole: Tom_Torres | sebzes: Ököl (-1.3) | E/P: 96.0/100.0 (S: 96.0/100.0) | Tav: 1.1
[02:23:52] Tom_Torres sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.4
