[09:06:48] Kiraly_Hunor sebzest kapott tole: Jack_Thomson | sebzes: MP5 (-8.2) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 10.8
[09:06:48] Kiraly_Hunor sebzest kapott tole: Jack_Thomson | sebzes: MP5 (-8.2) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 10.8
[09:21:20] Jack_Thomson sebzest kapott tole: Kiraly_Hunor | sebzes: Ököl (-1.3) | E/P: 32.0/5.0 (S: 32.0/5.0) | Tav: 0.5
[09:25:03] Gyongyosi_Lajos sebzest kapott tole: Szabo_Balazs | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[09:26:02] Gyongyosi_Lajos sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.6
[09:26:03] Gyongyosi_Lajos sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/2.3 (S: 150.0/2.3) | Tav: 0.9
[09:26:20] Gyongyosi_Lajos sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 150.0/1.0 (S: 150.0/1.0) | Tav: 0.7
[09:26:21] Gyongyosi_Lajos sebzest kapott tole: Georg_B_Hollywood | sebzes: Ököl (-1.3) | E/P: 149.7/0.0 (S: 149.7/0.0) | Tav: 1.1
[09:27:45] Szabo_Balazs sebzest kapott tole: Gyongyosi_Lajos | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[09:27:50] Georg_B_Hollywood sebzest kapott tole: Gyongyosi_Lajos | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.7
[09:29:53] Damien_Q_Carcassone sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 87.0/5.0 (S: 87.0/5.0) | Tav: 2.4
