[00:01:54] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 35.0
[00:01:55] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 133.5/0.0 (S: 133.5/0.0) | Tav: 35.7
[00:02:02] Steve_Aoki sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 82.8
[00:02:06] Kiraly_Viktor sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 125.2/0.0 (S: 125.2/0.0) | Tav: 14.8
[00:02:07] Kiraly_Viktor sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 117.0/0.0 (S: 117.0/0.0) | Tav: 13.7
[00:02:07] Aldo_B_Dueno sebzest kapott tole: Kiraly_Viktor | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.7
[00:02:08] Kiraly_Viktor sebzest kapott tole: Aldo_B_Dueno | sebzes: MP5 (-8.2) | E/P: 108.7/0.0 (S: 108.7/0.0) | Tav: 13.7
[00:02:16] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 138.0/0.0 (S: 138.0/0.0) | Tav: 79.9
[00:02:17] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 38.7
[00:02:20] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 118.0/0.0 (S: 118.0/0.0) | Tav: 76.6
[00:02:20] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 98.0/0.0 (S: 98.0/0.0) | Tav: 75.8
[00:02:31] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 78.0/0.0 (S: 78.0/0.0) | Tav: 57.6
[00:02:33] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 28.0/0.0 (S: 28.0/0.0) | Tav: 46.6
[00:02:33] Aldo_B_Dueno sebzest kapott tole: Tyler_Wish | sebzes: M4 (-9.9) | E/P: 8.0/0.0 (S: 8.0/0.0) | Tav: 45.9
[00:02:46] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 37.7
[00:02:47] Kiraly_Viktor sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 37.7
[00:02:49] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 61.0
[00:02:50] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 62.9
[00:02:50] Tyler_Wish sebzest kapott tole: Aldo_B_Dueno | sebzes: M4 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 63.1
