[00:39:02] Jeff_Jefferson sebzest kapott tole: Jhonny_Carlos_Tapia | sebzes: Ököl (-6.6) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 0.7
[00:40:24] Javier_B_Hollywood sebzest kapott tole: Drew_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 8.7
[00:40:24] Javier_B_Hollywood sebzest kapott tole: Drew_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 8.6
[00:40:24] Javier_B_Hollywood sebzest kapott tole: Drew_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 8.4
[00:40:24] Drew_B_Dueno sebzest kapott tole: Javier_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 8.2
[00:40:24] Javier_B_Hollywood sebzest kapott tole: Drew_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 8.1
[00:40:25] Javier_B_Hollywood sebzest kapott tole: John_Salivan | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 20.8
[00:40:25] Javier_B_Hollywood sebzest kapott tole: Drew_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 8.0
[00:40:25] Drew_B_Dueno sebzest kapott tole: Javier_B_Hollywood | sebzes: M4 (-9.9) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 7.9
[00:40:25] Javier_B_Hollywood sebzest kapott tole: John_Salivan | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 20.4
[00:40:25] Drew_B_Dueno sebzest kapott tole: Javier_B_Hollywood | sebzes: M4 (-9.9) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 7.6
[00:40:25] Javier_B_Hollywood sebzest kapott tole: Drew_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 7.4
[00:40:25] Javier_B_Hollywood sebzest kapott tole: John_Salivan | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 20.3
[00:40:25] Drew_B_Dueno sebzest kapott tole: Javier_B_Hollywood | sebzes: M4 (-9.9) | E/P: 135.0/0.0 (S: 135.0/0.0) | Tav: 7.4
[00:40:25] Javier_B_Hollywood sebzest kapott tole: Drew_B_Dueno | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 7.4
[00:40:25] Drew_B_Dueno sebzest kapott tole: Javier_B_Hollywood | sebzes: M4 (-9.9) | E/P: 95.0/0.0 (S: 95.0/0.0) | Tav: 7.3
[00:40:25] Drew_B_Dueno sebzest kapott tole: Javier_B_Hollywood | sebzes: M4 (-9.9) | E/P: 95.0/0.0 (S: 95.0/0.0) | Tav: 7.4
[00:40:25] Javier_B_Hollywood sebzest kapott tole: John_Salivan | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 20.2
[00:40:25] Javier_B_Hollywood sebzest kapott tole: John_Salivan | sebzes: MP5 (-8.2) | E/P: 150.0/91.7 (S: 150.0/91.7) | Tav: 20.4
[00:40:25] John_Salivan sebzest kapott tole: Javier_B_Hollywood | sebzes: M4 (-9.9) | E/P: 27.0/0.0 (S: 27.0/0.0) | Tav: 20.4
[00:40:39] Yamato_Bosco sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.3) | E/P: 37.3/5.0 (S: 37.3/5.0) | Tav: 1.3
[00:40:59] Yamato_Bosco sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-1.3) | E/P: 37.3/5.0 (S: 37.3/5.0) | Tav: 0.6
[00:41:11] Matt_Creed sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 95.8/25.7 (S: 95.8/25.7) | Tav: 15.0
[00:41:13] Bob_Kleiner sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 22.0/0.0 (S: 22.0/0.0) | Tav: 18.3
[00:41:13] Bob_Kleiner sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 18.3
[00:41:35] Levy_B_Hollywood sebzest kapott tole: John_Salivan | sebzes: MP5 (-8.2) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 7.4
[00:41:35] John_Salivan sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 27.0/0.0 (S: 27.0/0.0) | Tav: 7.4
[00:41:35] John_Salivan sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 27.0/0.0 (S: 27.0/0.0) | Tav: 7.5
[00:41:35] John_Salivan sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 7.5
[00:41:36] John_Salivan sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 7.4
[00:41:36] John_Salivan sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 7.4
[00:41:36] John_Salivan sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 7.4
[00:45:12] Darius_N_Ortega sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.3) | E/P: 148.6/5.0 (S: 148.6/5.0) | Tav: 0.5
[00:45:14] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-1.3) | E/P: 132.0/92.7 (S: 132.0/92.7) | Tav: 1.2
[00:45:14] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-1.3) | E/P: 132.0/92.7 (S: 132.0/92.7) | Tav: 1.0
[00:45:15] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-1.3) | E/P: 132.0/92.7 (S: 132.0/92.7) | Tav: 0.9
[00:45:16] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-3.9) | E/P: 132.0/89.1 (S: 132.0/89.1) | Tav: 0.7
[00:45:16] Darius_N_Ortega sebzest kapott tole: Johny_Morales | sebzes: Ököl (-5.2) | E/P: 148.6/3.6 (S: 148.6/3.6) | Tav: 0.5
[00:45:17] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-2.6) | E/P: 132.0/86.4 (S: 132.0/86.4) | Tav: 0.8
[00:45:17] Darius_N_Ortega sebzest kapott tole: Johny_Morales | sebzes: Ököl (-1.9) | E/P: 148.6/1.6 (S: 148.6/1.6) | Tav: 0.6
[00:45:18] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-2.6) | E/P: 132.0/86.4 (S: 132.0/86.4) | Tav: 0.7
[00:45:18] Darius_N_Ortega sebzest kapott tole: Johny_Morales | sebzes: Ököl (-5.2) | E/P: 148.3/0.0 (S: 148.3/0.0) | Tav: 0.6
[00:45:19] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-2.6) | E/P: 132.0/86.4 (S: 132.0/86.4) | Tav: 0.5
[00:45:19] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-2.6) | E/P: 132.0/86.4 (S: 132.0/86.4) | Tav: 0.4
[00:45:19] Johny_Morales sebzest kapott tole: Darius_N_Ortega | sebzes: Ököl (-2.6) | E/P: 132.0/86.4 (S: 132.0/86.4) | Tav: 0.4
[00:45:27] Jeff_Jefferson sebzest kapott tole: Jhonny_Carlos_Tapia | sebzes: Ököl (-1.3) | E/P: 30.0/5.0 (S: 30.0/5.0) | Tav: 1.0
[00:45:30] Phil_Stinson sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 96.2/75.2 (S: 96.2/75.2) | Tav: 22.7
[00:45:30] Phil_Stinson sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 96.2/67.0 (S: 96.2/67.0) | Tav: 22.8
[00:45:30] Phil_Stinson sebzest kapott tole: Steve_Aoki | sebzes: MP5 (-8.2) | E/P: 96.2/58.7 (S: 96.2/58.7) | Tav: 22.8
[00:45:32] Steve_Aoki sebzest kapott tole: Hizusu_Zisiku | sebzes: Sniper (-41.2) | E/P: 123.0/5.0 (S: 123.0/5.0) | Tav: 98.8
[00:45:38] Steve_Aoki sebzest kapott tole: Hizusu_Zisiku | sebzes: Sniper (-41.2) | E/P: 123.0/5.0 (S: 123.0/5.0) | Tav: 99.3
[00:45:39] Steve_Aoki sebzest kapott tole: Levy_B_Hollywood | sebzes: M4 (-9.9) | E/P: 123.0/5.0 (S: 123.0/5.0) | Tav: 9.8
[00:50:36] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 33.4/5.0 (S: 33.4/5.0) | Tav: 0.7
[00:50:37] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-2.3) | E/P: 33.4/5.0 (S: 33.4/5.0) | Tav: 0.7
[00:50:38] Jim_Handerson sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 33.4/5.0 (S: 33.4/5.0) | Tav: 1.3
[00:54:07] Bob_Kleiner sebzest kapott tole: Siska_Finuccsi | sebzes: MP5 (-8.2) | E/P: 22.0/0.0 (S: 22.0/0.0) | Tav: 32.0
[00:54:08] Bob_Kleiner sebzest kapott tole: Siska_Finuccsi | sebzes: MP5 (-8.2) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 33.3
[00:54:36] John_Salivan sebzest kapott tole: Matt_Creed | sebzes: Ököl (-1.3) | E/P: 22.0/0.0 (S: 22.0/0.0) | Tav: 1.4
[00:55:03] John_Salivan sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 20.6/0.0 (S: 20.6/0.0) | Tav: 17.1
[00:55:03] John_Salivan sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 16.3
[00:55:04] John_Salivan sebzest kapott tole: Siska_Finuccsi | sebzes: AK47 (-9.9) | E/P: 14.8/0.0 (S: 14.8/0.0) | Tav: 16.1
