[09:04:36] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 26.1
[09:04:36] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 70.0/0.0 (S: 70.0/0.0) | Tav: 26.1
[09:04:58] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 7.5
[09:05:06] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 33.3
[09:05:07] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 32.2
[09:05:13] Marcell_O_Neill sebzest kapott tole: Milinte_Brasco | sebzes: AK47 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10.2
[09:05:13] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 10.1
[09:05:25] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 14.1
[09:05:25] Milinte_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: M4 (-9.9) | E/P: 0.0/0.0 (S: 0.0/0.0) | Tav: 14.1
[10:43:49] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[10:45:15] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[10:47:47] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-9.9) | E/P: 150.0/150.0 (S: 150.0/150.0) | Tav: 29.1
[10:47:47] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-9.9) | E/P: 150.0/135.0 (S: 150.0/135.0) | Tav: 29.1
[10:47:48] Krist_Roscoe sebzest kapott tole: William_W_Andrews | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 29.1
[10:47:51] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-9.9) | E/P: 150.0/120.0 (S: 150.0/120.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-9.9) | E/P: 150.0/105.0 (S: 150.0/105.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-9.9) | E/P: 150.0/90.0 (S: 150.0/90.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-9.9) | E/P: 150.0/75.0 (S: 150.0/75.0) | Tav: 29.1
[10:47:52] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: M4 (-9.9) | E/P: 150.0/60.0 (S: 150.0/60.0) | Tav: 29.1
[10:49:24] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-2.6) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.8
[10:49:38] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-2.6) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 0.8
[10:49:44] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-1.3) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 1.7
[10:49:44] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-1.3) | E/P: 143.3/0.0 (S: 143.3/0.0) | Tav: 1.3
[12:03:07] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[13:24:48] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.3
[13:24:50] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.8
[13:25:00] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.0
[13:25:06] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.2
[13:25:06] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[13:25:07] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[13:25:08] Mike_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
