[00:23:58] Patrik_O_Neill sebzest kapott tole: Connor_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[00:24:04] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 23.3
[00:24:04] Don_Sorrentino sebzest kapott tole: Marcel_B_Hollywood | sebzes: M4 (-9.9) | E/P: 150.0/80.0 (S: 150.0/80.0) | Tav: 23.8
[00:24:48] Torres_Butler sebzest kapott tole: Levy_B_Hollywood | sebzes: Deagle (-23.1) | E/P: 111.0/100.0 (S: 111.0/100.0) | Tav: 2.9
[00:24:57] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:25:15] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.1
[00:25:16] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:25:16] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:25:16] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:25:25] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[00:25:26] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:25:27] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-5.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:25:28] Patrik_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[00:25:36] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[00:25:37] Connor_O_Neill sebzest kapott tole: Steve_Aoki | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.3
