[07:26:46] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/1.0 (S: 150.0/1.0) | Tav: 1.0
[07:26:46] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/1.0 (S: 150.0/1.0) | Tav: 0.7
[07:26:47] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 149.7/0.0 (S: 149.7/0.0) | Tav: 0.9
[07:26:47] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 148.3/0.0 (S: 148.3/0.0) | Tav: 0.8
[07:26:48] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 1.0
[07:26:49] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 142.1/0.0 (S: 142.1/0.0) | Tav: 0.7
[07:26:50] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 139.8/0.0 (S: 139.8/0.0) | Tav: 1.0
[07:26:52] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 134.5/0.0 (S: 134.5/0.0) | Tav: 1.2
[07:26:53] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 130.5/0.0 (S: 130.5/0.0) | Tav: 1.0
[07:26:53] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 130.5/0.0 (S: 130.5/0.0) | Tav: 1.2
[07:26:54] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 127.9/0.0 (S: 127.9/0.0) | Tav: 0.8
[07:26:54] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 125.6/0.0 (S: 125.6/0.0) | Tav: 1.6
[07:26:55] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 124.3/0.0 (S: 124.3/0.0) | Tav: 0.7
[07:29:17] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.9
[07:29:17] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[07:29:18] Ryan_Brasco sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 1.2
