[00:57:27] Sidney_Tribiani sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-20.0) | E/P: 95.0/0.0 (S: 95.0/0.0) | Tav: 51.6
[00:57:28] Sidney_Tribiani sebzest kapott tole: Henrik_T_Scaletta | sebzes: M4 (-20.0) | E/P: 75.0/0.0 (S: 75.0/0.0) | Tav: 51.6
[02:27:38] Don_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 150.0/100.0 (S: 150.0/100.0) | Tav: 0.7
[02:43:31] Don_Sorrentino sebzest kapott tole: Henrik_T_Scaletta | sebzes: Ököl (-1.3) | E/P: 135.0/98.6 (S: 135.0/98.6) | Tav: 0.9
[02:43:34] Henrik_T_Scaletta sebzest kapott tole: Tom_Torres | sebzes: Ököl (-4.2) | E/P: 146.4/100.0 (S: 146.4/100.0) | Tav: 1.1
[03:16:13] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/20.0 (S: 119.0/20.0) | Tav: 0.7
[03:16:14] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/18.6 (S: 119.0/18.6) | Tav: 0.6
[03:16:15] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/17.3 (S: 119.0/17.3) | Tav: 0.6
[03:16:16] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/16.0 (S: 119.0/16.0) | Tav: 0.7
[03:16:17] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/14.7 (S: 119.0/14.7) | Tav: 0.6
[03:16:17] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/13.4 (S: 119.0/13.4) | Tav: 0.6
[03:16:18] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/12.0 (S: 119.0/12.0) | Tav: 0.6
[03:16:18] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-2.6) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.6
[03:16:18] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/10.7 (S: 119.0/10.7) | Tav: 0.6
[03:16:19] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-1.6) | E/P: 150.0/2.3 (S: 150.0/2.3) | Tav: 0.6
[03:16:20] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-4.2) | E/P: 150.0/0.7 (S: 150.0/0.7) | Tav: 0.7
[03:16:21] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-6.6) | E/P: 146.4/0.0 (S: 146.4/0.0) | Tav: 1.1
[03:16:21] Marcell_O_Neill sebzest kapott tole: Tom_Torres | sebzes: Ököl (-6.6) | E/P: 139.8/0.0 (S: 139.8/0.0) | Tav: 1.8
[03:16:34] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 119.0/9.4 (S: 119.0/9.4) | Tav: 0.6
[03:16:34] Tom_Torres sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 119.0/8.1 (S: 119.0/8.1) | Tav: 1.0
