[00:57:39] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 35.1/0.0 (S: 35.1/0.0) | Tav: 0.7
[00:57:39] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-6.6) | E/P: 28.5/0.0 (S: 28.5/0.0) | Tav: 0.7
[00:57:40] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.9) | E/P: 21.9/0.0 (S: 21.9/0.0) | Tav: 0.8
[00:57:41] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-5.2) | E/P: 19.9/0.0 (S: 19.9/0.0) | Tav: 0.7
[00:58:01] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 1.1
[00:58:01] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 20.0/0.0 (S: 20.0/0.0) | Tav: 0.8
[00:58:02] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.7
[00:58:03] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/2.3 (S: 150.0/2.3) | Tav: 0.9
[00:58:04] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 18.6/0.0 (S: 18.6/0.0) | Tav: 0.9
[00:59:33] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 17.3/0.0 (S: 17.3/0.0) | Tav: 0.7
[00:59:34] Dolph_F_Gates sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 16.0/0.0 (S: 16.0/0.0) | Tav: 1.1
[00:59:54] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/1.0 (S: 150.0/1.0) | Tav: 1.1
[00:59:55] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 71.2/5.0 (S: 71.2/5.0) | Tav: 0.7
[00:59:58] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.3) | E/P: 149.7/0.0 (S: 149.7/0.0) | Tav: 0.6
[00:59:59] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 147.4/0.0 (S: 147.4/0.0) | Tav: 0.6
[00:59:59] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 71.2/3.6 (S: 71.2/3.6) | Tav: 0.5
[01:00:00] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-2.3) | E/P: 71.2/2.3 (S: 71.2/2.3) | Tav: 0.6
[01:00:01] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 71.2/0.0 (S: 71.2/0.0) | Tav: 0.6
[01:00:01] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 143.4/0.0 (S: 143.4/0.0) | Tav: 0.6
[01:00:02] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 69.9/0.0 (S: 69.9/0.0) | Tav: 0.6
[01:00:02] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 68.6/0.0 (S: 68.6/0.0) | Tav: 0.6
[01:00:02] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 140.4/0.0 (S: 140.4/0.0) | Tav: 0.6
[01:00:03] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 67.3/0.0 (S: 67.3/0.0) | Tav: 0.6
[01:00:03] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 65.9/0.0 (S: 65.9/0.0) | Tav: 0.4
[01:00:04] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 137.5/0.0 (S: 137.5/0.0) | Tav: 0.6
[01:00:04] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 64.6/0.0 (S: 64.6/0.0) | Tav: 0.6
[01:00:04] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-3.9) | E/P: 134.5/0.0 (S: 134.5/0.0) | Tav: 0.6
[01:00:05] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 63.3/0.0 (S: 63.3/0.0) | Tav: 0.5
[01:00:06] Patrik_O_Neill sebzest kapott tole: Marcell_O_Neill | sebzes: Ököl (-2.9) | E/P: 130.5/0.0 (S: 130.5/0.0) | Tav: 0.3
[01:00:07] Marcell_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 62.0/0.0 (S: 62.0/0.0) | Tav: 1.0
