[10:49:44] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-1.3) | E/P: 144.7/0.0 (S: 144.7/0.0) | Tav: 1.7
[10:49:44] William_W_Andrews sebzest kapott tole: Krist_Roscoe | sebzes: Ököl (-1.3) | E/P: 143.3/0.0 (S: 143.3/0.0) | Tav: 1.3
[13:56:44] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 32.0
[13:56:46] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 21.3
[13:58:34] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 51.6
[13:59:05] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 15.0
[14:00:04] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 6.3
[14:00:04] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 6.3
[14:00:57] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 3.5
[14:05:28] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/5.0 (S: 150.0/5.0) | Tav: 0.9
[14:05:31] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 0.7
[14:05:41] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 148.6/0.0 (S: 148.6/0.0) | Tav: 0.9
[14:06:03] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: Ököl (-1.3) | E/P: 150.0/3.6 (S: 150.0/3.6) | Tav: 0.7
[14:06:04] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 147.3/0.0 (S: 147.3/0.0) | Tav: 0.6
[14:06:08] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: Ököl (-1.3) | E/P: 146.0/0.0 (S: 146.0/0.0) | Tav: 0.7
[14:06:30] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 32.0
[14:06:58] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 11.8
[14:07:20] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.9
[14:07:21] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 13.8
[14:07:21] Mike_O_Neill sebzest kapott tole: Patrik_O_Neill | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 13.8
[14:07:21] Patrik_O_Neill sebzest kapott tole: Mike_O_Neill | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 13.8
