[16:56:35] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 49.7
[16:56:35] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 49.0
[16:56:36] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 90.0/0.0 (S: 90.0/0.0) | Tav: 36.2
[16:56:43] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 15.0/0.0 (S: 15.0/0.0) | Tav: 36.8
[16:56:49] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 42.4
[16:57:02] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 23.7
[16:57:02] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 23.8
[16:57:02] Ralf_S_Tomasso sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 110.0/0.0 (S: 110.0/0.0) | Tav: 24.1
[16:57:22] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 6.1
[16:57:30] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: MP5 (-8.2) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 17.6
[16:57:32] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: MP5 (-8.2) | E/P: 141.7/0.0 (S: 141.7/0.0) | Tav: 19.5
[16:57:45] William_W_Andrews sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 62.7
[16:57:49] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 69.4
[16:58:01] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 57.3
[16:58:02] Edie_Morra sebzest kapott tole: Ralf_S_Tomasso | sebzes: M4 (-20.0) | E/P: 130.0/0.0 (S: 130.0/0.0) | Tav: 55.1
[16:58:14] Edie_Morra sebzest kapott tole: William_W_Andrews | sebzes: M4 (-20.0) | E/P: 150.0/0.0 (S: 150.0/0.0) | Tav: 2.8
